Sample in Buffer,Sample in Window,TRIGGER,adc2_data_b_d0[11:0],adc2_data_a_d0[11:0]
627,627,0,2823,2049
628,628,0,2219,2050
629,629,0,1598,2049
630,630,0,1016,2049
631,631,0,526,2049
632,632,0,170,2049
633,633,0,0,2048
634,634,0,0,2049
635,635,0,141,2050
636,636,0,484,2050
637,637,0,961,2050
638,638,0,1536,2049
639,639,0,2155,2049
640,640,0,2764,2049
641,641,0,3311,2049
642,642,0,3745,2050
643,643,0,4031,2049
644,644,0,4095,2049
645,645,0,4068,2049
646,646,0,3815,2049
647,647,0,3407,2049
648,648,0,2879,2049
649,649,0,2278,2049
650,650,0,1657,2048
651,651,0,1070,2049
652,652,0,568,2050
653,653,0,197,2049
654,654,0,0,2049
655,655,0,0,2049
656,656,0,117,2049
657,657,0,443,2049
658,658,0,910,2050
659,659,0,1477,2049
660,660,0,2094,2049
661,661,0,2707,2049
662,662,0,3262,2049
663,663,0,3709,2050
664,664,0,4011,2049
665,665,0,4095,2049
666,666,0,4082,2049
667,667,0,3846,2050
668,668,0,3452,2049
669,669,0,2935,2049
670,670,0,2338,2049
671,671,0,1717,2049
672,672,0,1123,2049
673,673,0,612,2049
674,674,0,226,2050
675,675,0,0,2049
676,676,0,0,2049
677,677,0,94,2049
678,678,0,405,2049
679,679,0,859,2049
680,680,0,1418,2049
681,681,0,2033,2050
682,682,0,2649,2049
683,683,0,3212,2049
684,684,0,3672,2049
685,685,0,3989,2049
686,686,0,4095,2049
687,687,0,4095,2049
688,688,0,3877,2049
689,689,0,3497,2049
690,690,0,2989,2049
691,691,0,2399,2050
692,692,0,1777,2049
693,693,0,1179,2049
694,694,0,657,2049
695,695,0,257,2049
696,696,0,15,2049
697,697,0,0,2049
698,698,0,73,2049
699,699,0,367,2049
700,700,0,810,2049
701,701,0,1362,2049
702,702,0,1973,2049
703,703,0,2591,2049
704,704,0,3161,2049
705,705,0,3632,2049
706,706,0,3965,2048
707,707,0,4095,2049
708,708,0,4095,2049
709,709,0,3906,2049
710,710,0,3540,2049
711,711,0,3043,2049
712,712,0,2458,2049
713,713,0,1837,2049
714,714,0,1234,2049
715,715,0,703,2050
716,716,0,290,2049
717,717,0,31,2050
718,718,0,0,2049
719,719,0,53,2049
720,720,0,332,2049
721,721,0,762,2049
722,722,0,1305,2049
723,723,0,1913,2049
724,724,0,2533,2049
725,725,0,3109,2049
726,726,0,3592,2049
727,727,0,3940,2049
728,728,0,4095,2049
729,729,0,4095,2048
730,730,0,3932,2049
731,731,0,3581,2049
732,732,0,3096,2050
733,733,0,2517,2049
734,734,0,1897,2049
735,735,0,1290,2049
736,736,0,750,2049
737,737,0,323,2050
738,738,0,48,2049
739,739,0,0,2050
740,740,0,35,2049
741,741,0,298,2049
742,742,0,714,2049
743,743,0,1248,2049
744,744,0,1852,2049
745,745,0,2472,2048
746,746,0,3057,2049
747,747,0,3550,2049
748,748,0,3913,2049
749,749,0,4095,2049
750,750,0,4095,2049
751,751,0,3959,2049
752,752,0,3622,2049
753,753,0,3148,2050
754,754,0,2576,2049
755,755,0,1958,2049
756,756,0,1347,2049
757,757,0,798,2049
758,758,0,358,2049
759,759,0,68,2049
760,760,0,0,2049
761,761,0,18,2049
762,762,0,265,2049
763,763,0,668,2048
764,764,0,1192,2049
765,765,0,1791,2049
766,766,0,2414,2049
767,767,0,3002,2049
768,768,0,3508,2049
769,769,0,3885,2049
770,770,0,4095,2049
771,771,0,4095,2049
772,772,0,3983,2050
773,773,0,3662,2049
774,774,0,3199,2049
775,775,0,2634,2049
776,776,0,2019,2050
777,777,0,1405,2049
778,778,0,847,2049
779,779,0,396,2049
780,780,0,89,2049
781,781,0,0,2050
782,782,0,5,2049
783,783,0,234,2049
784,784,0,623,2049
785,785,0,1137,2049
786,786,0,1732,2049
787,787,0,2353,2049
788,788,0,2948,2049
789,789,0,3464,2049
790,790,0,3855,2049
791,791,0,4086,2049
792,792,0,4095,2049
793,793,0,4004,2049
794,794,0,3700,2049
795,795,0,3249,2049
796,796,0,2692,2049
797,797,0,2079,2049
798,798,0,1463,2049
799,799,0,897,2049
800,800,0,433,2049
801,801,0,110,2049
802,802,0,0,2049
803,803,0,0,2049
804,804,0,203,2049
805,805,0,579,2049
806,806,0,1083,2049
807,807,0,1672,2049
808,808,0,2294,2049
809,809,0,2893,2050
810,810,0,3419,2049
811,811,0,3823,2050
812,812,0,4071,2049
813,813,0,4095,2049
814,814,0,4026,2049
815,815,0,3736,2049
816,816,0,3298,2049
817,817,0,2750,2048
818,818,0,2140,2050
819,819,0,1521,2049
820,820,0,949,2049
821,821,0,473,2050
822,822,0,136,2049
823,823,0,0,2049
824,824,0,0,2049
825,825,0,175,2049
826,826,0,535,2050
827,827,0,1029,2049
828,828,0,1612,2050
829,829,0,2233,2049
830,830,0,2837,2049
831,831,0,3373,2049
832,832,0,3791,2049
833,833,0,4055,2050
834,834,0,4095,2049
835,835,0,4045,2049
836,836,0,3772,2049
837,837,0,3346,2049
838,838,0,2807,2049
839,839,0,2200,2049
840,840,0,1580,2049
841,841,0,1001,2049
842,842,0,514,2049
843,843,0,162,2049
844,844,0,0,2049
845,845,0,0,2049
846,846,0,149,2049
847,847,0,495,2049
848,848,0,976,2050
849,849,0,1553,2050
850,850,0,2173,2049
851,851,0,2781,2049
852,852,0,3325,2049
853,853,0,3756,2050
854,854,0,4037,2049
855,855,0,4095,2049
856,856,0,4063,2049
857,857,0,3805,2049
858,858,0,3393,2050
859,859,0,2863,2049
860,860,0,2261,2049
861,861,0,1640,2049
862,862,0,1054,2050
863,863,0,555,2049
864,864,0,189,2049
865,865,0,0,2049
866,866,0,0,2049
867,867,0,124,2049
868,868,0,455,2049
869,869,0,925,2049
870,870,0,1494,2049
871,871,0,2113,2049
872,872,0,2724,2049
873,873,0,3275,2050
874,874,0,3720,2049
875,875,0,4017,2049
876,876,0,4095,2050
877,877,0,4078,2049
878,878,0,3838,2049
879,879,0,3439,2049
880,880,0,2918,2049
881,881,0,2321,2049
882,882,0,1699,2049
883,883,0,1108,2049
884,884,0,598,2049
885,885,0,218,2049
886,886,0,0,2049
887,887,0,0,2049
888,888,0,100,2049
889,889,0,415,2049
890,890,0,874,2048
891,891,0,1436,2050
892,892,0,2051,2049
893,893,0,2666,2049
894,894,0,3226,2049
895,895,0,3683,2049
896,896,0,3995,2049
897,897,0,4095,2049
898,898,0,4093,2049
899,899,0,3868,2049
900,900,0,3484,2049
901,901,0,2973,2049
902,902,0,2381,2050
903,903,0,1759,2049
904,904,0,1162,2049
905,905,0,644,2049
906,906,0,248,2049
907,907,0,11,2049
908,908,0,0,2049
909,909,0,79,2049
910,910,0,379,2049
911,911,0,825,2048
912,912,0,1378,2049
913,913,0,1991,2049
914,914,0,2608,2049
915,915,0,3175,2049
916,916,0,3645,2049
917,917,0,3972,2049
918,918,0,4095,2049
919,919,0,4095,2049
920,920,0,3898,2049
921,921,0,3527,2049
922,922,0,3027,2049
923,923,0,2441,2048
924,924,0,1819,2049
925,925,0,1217,2049
926,926,0,689,2049
927,927,0,280,2049
928,928,0,26,2049
929,929,0,0,2049
930,930,0,59,2049
931,931,0,342,2049
932,932,0,775,2049
933,933,0,1321,2048
934,934,0,1930,2049
935,935,0,2549,2049
936,936,0,3125,2048
937,937,0,3604,2049
938,938,0,3947,2048
939,939,0,4095,2050
940,940,0,4095,2049
941,941,0,3926,2049
942,942,0,3570,2049
943,943,0,3080,2049
944,944,0,2499,2049
945,945,0,1879,2049
946,946,0,1274,2049
947,947,0,735,2049
948,948,0,314,2049
949,949,0,43,2049
950,950,0,0,2049
951,951,0,40,2049
952,952,0,307,2049
953,953,0,728,2048
954,954,0,1264,2049
955,955,0,1870,2049
956,956,0,2490,2049
957,957,0,3072,2049
958,958,0,3564,2049
959,959,0,3921,2049
960,960,0,4095,2049
961,961,0,4095,2049
962,962,0,3951,2049
963,963,0,3611,2049
964,964,0,3132,2050
965,965,0,2558,2050
966,966,0,1941,2049
967,967,0,1330,2049
968,968,0,784,2049
969,969,0,348,2049
970,970,0,62,2049
971,971,0,0,2048
972,972,0,23,2050
973,973,0,274,2049
974,974,0,681,2049
975,975,0,1208,2048
976,976,0,1809,2049
977,977,0,2431,2049
978,978,0,3018,2050
979,979,0,3521,2049
980,980,0,3894,2049
981,981,0,4095,2049
982,982,0,4095,2049
983,983,0,3977,2049
984,984,0,3650,2050
985,985,0,3184,2048
986,986,0,2617,2049
987,987,0,2001,2049
988,988,0,1387,2049
989,989,0,832,2050
990,990,0,385,2049
991,991,0,82,2049
992,992,0,0,2049
993,993,0,9,2050
994,994,0,243,2049
995,995,0,636,2049
996,996,0,1153,2049
997,997,0,1749,2050
998,998,0,2371,2049
999,999,0,2964,2049
1000,1000,0,3477,2049
1001,1001,0,3864,2049
1002,1002,0,4090,2049
1003,1003,0,4095,2049
1004,1004,0,3998,2049
1005,1005,0,3689,2049
1006,1006,0,3234,2049
1007,1007,0,2676,2049
1008,1008,0,2061,2049
1009,1009,0,1445,2049
1010,1010,0,883,2049
1011,1011,0,422,2049
1012,1012,0,105,2049
1013,1013,0,0,2049
1014,1014,0,0,2050
1015,1015,0,212,2049
1016,1016,0,592,2049
1017,1017,0,1098,2049
1018,1018,0,1689,2050
1019,1019,0,2311,2049
1020,1020,0,2910,2049
1021,1021,0,3432,2049
1022,1022,0,3833,2049
1023,1023,0,4076,2049
1024,1024,0,4095,2049
1025,1025,0,4020,2050
1026,1026,0,3725,2049
1027,1027,0,3283,2049
1028,1028,0,2733,2049
1029,1029,0,2122,2049
1030,1030,0,1503,2049
1031,1031,0,934,2049
1032,1032,0,461,2049
1033,1033,0,128,2049
1034,1034,0,0,2049
1035,1035,0,0,2049
1036,1036,0,184,2048
1037,1037,0,549,2049
1038,1038,0,1045,2049
1039,1039,0,1629,2049
1040,1040,0,2251,2049
1041,1041,0,2854,2049
1042,1042,0,3386,2049
1043,1043,0,3801,2049
1044,1044,0,4060,2049
1045,1045,0,4095,2049
1046,1046,0,4039,2049
1047,1047,0,3762,2048
1048,1048,0,3333,2049
1049,1049,0,2791,2049
1050,1050,0,2182,2049
1051,1051,0,1563,2049
1052,1052,0,985,2049
1053,1053,0,502,2049
1054,1054,0,154,2049
1055,1055,0,0,2049
1056,1056,0,0,2049
1057,1057,0,157,2049
1058,1058,0,507,2049
1059,1059,0,992,2049
1060,1060,0,1571,2049
1061,1061,0,2190,2050
1062,1062,0,2797,2049
1063,1063,0,3339,2049
1064,1064,0,3766,2049
1065,1065,0,4042,2049
1066,1066,0,4095,2049
1067,1067,0,4058,2048
1068,1068,0,3795,2049
1069,1069,0,3379,2049
1070,1070,0,2846,2049
1071,1071,0,2242,2049
1072,1072,0,1621,2049
1073,1073,0,1037,2049
1074,1074,0,544,2049
1075,1075,0,180,2049
1076,1076,0,0,2049
1077,1077,0,0,2049
1078,1078,0,131,2049
1079,1079,0,467,2049
1080,1080,0,940,2049
1081,1081,0,1512,2049
1082,1082,0,2129,2050
1083,1083,0,2740,2049
1084,1084,0,3291,2049
1085,1085,0,3730,2049
1086,1086,0,4023,2049
1087,1087,0,4095,2049
1088,1088,0,4074,2050
1089,1089,0,3828,2050
1090,1090,0,3426,2049
1091,1091,0,2903,2049
1092,1092,0,2303,2049
1093,1093,0,1682,2050
1094,1094,0,1092,2049
1095,1095,0,586,2050
1096,1096,0,208,2049
1097,1097,0,0,2049
1098,1098,0,0,2049
1099,1099,0,107,2049
1100,1100,0,427,2049
1101,1101,0,889,2049
1102,1102,0,1453,2049
1103,1103,0,2069,2049
1104,1104,0,2683,2049
1105,1105,0,3241,2050
1106,1106,0,3695,2050
1107,1107,0,4002,2049
1108,1108,0,4095,2050
1109,1109,0,4088,2049
1110,1110,0,3859,2049
1111,1111,0,3470,2049
1112,1112,0,2957,2049
1113,1113,0,2363,2049
1114,1114,0,1740,2048
1115,1115,0,1147,2049
1116,1116,0,629,2049
1117,1117,0,239,2049
1118,1118,0,6,2049
1119,1119,0,0,2049
1120,1120,0,85,2049
1121,1121,0,389,2049
1122,1122,0,839,2049
1123,1123,0,1395,2049
1124,1124,0,2009,2049
1125,1125,0,2625,2049
1126,1126,0,3191,2049
1127,1127,0,3656,2049
1128,1128,0,3979,2049
1129,1129,0,4095,2049
1130,1130,0,4095,2049
1131,1131,0,3889,2048
1132,1132,0,3515,2049
1133,1133,0,3012,2050
1134,1134,0,2423,2049
1135,1135,0,1801,2049
1136,1136,0,1201,2049
1137,1137,0,675,2049
1138,1138,0,271,2049
1139,1139,0,21,2049
